ID,Product_ID,product_name,category,subcategory
1,FURBO10000112,Bush Birmingham Collection Bookcase/ Dark Cherry,Furniture,Bookcases
2,FURBO10000330,Sauder Camden County Barrister Bookcase/ Planked Cherry Finish,Furniture,Bookcases
3,FURBO10000362,Sauder Inglewood Library Bookcases,Furniture,Bookcases
4,FURBO10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases
5,FURBO10000711,Hon Metal Bookcases/ Gray,Furniture,Bookcases
6,FURBO10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Furniture,Bookcases
7,FURBO10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Furniture,Bookcases
8,FURBO10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases
9,FURBO10001567,Bush Westfield Collection Bookcases/ Dark Cherry Finish/ Fully Assembled,Furniture,Bookcases
10,FURBO10001601,Sauder Mission Library with Doors/ Fruitwood Finish,Furniture,Bookcases
11,FURBO10001608,Hon Metal Bookcases/ Black,Furniture,Bookcases
12,FURBO10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases
13,FURBO10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
14,FURBO10001811,Atlantic Metals Mobile 5-Shelf Bookcases/ Custom Colors,Furniture,Bookcases
15,FURBO10001918,Sauder Forest Hills Library with Doors/ Woodland Oak Finish,Furniture,Bookcases
16,FURBO10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases
17,FURBO10002202,Atlantic Metals Mobile 2-Shelf Bookcases/ Custom Colors,Furniture,Bookcases
18,FURBO10002206,Bush Saratoga Collection 5-Shelf Bookcase/ Hanover Cherry/ *Special Order,Furniture,Bookcases
20,FURBO10002213,Sauder Forest Hills Library/ Woodland Oak Finish,Furniture,Bookcases
21,FURBO10002268,Sauder Barrister Bookcases,Furniture,Bookcases
22,FURBO10002545,Atlantic Metals Mobile 3-Shelf Bookcases/ Custom Colors,Furniture,Bookcases
23,FURBO10002598,Hon Metal Bookcases/ Putty,Furniture,Bookcases
24,FURBO10002613,Atlantic Metals Mobile 4-Shelf Bookcases/ Custom Colors,Furniture,Bookcases
25,FURBO10002824,Bush Mission Pointe Library,Furniture,Bookcases
26,FURBO10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases
27,FURBO10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Furniture,Bookcases
28,FURBO10003034,O'Sullivan Elevations Bookcase/ Cherry Finish,Furniture,Bookcases
29,FURBO10003159,Sauder Camden County Collection Libraries/ Planked Cherry Finish,Furniture,Bookcases
30,FURBO10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases
31,FURBO10003404,Global Adaptabilites Bookcase/ Cherry/Storm Gray Finish,Furniture,Bookcases
32,FURBO10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases
33,FURBO10003441,Bush Westfield Collection Bookcases/ Fully Assembled,Furniture,Bookcases
34,FURBO10003450,Bush Westfield Collection Bookcases/ Dark Cherry Finish,Furniture,Bookcases
35,FURBO10003546,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases
36,FURBO10003660,Bush Cubix Collection Bookcases/ Fully Assembled,Furniture,Bookcases
37,FURBO10003893,Sauder Camden County Collection Library,Furniture,Bookcases
38,FURBO10003894,Safco Value Mate Steel Bookcase/ Baked Enamel Finish on Steel/ Black,Furniture,Bookcases
39,FURBO10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases
40,FURBO10003966,Sauder Facets Collection Library/ Sky Alder Finish,Furniture,Bookcases
41,FURBO10004015,Bush Andora Bookcase/ Maple/Graphite Gray Finish,Furniture,Bookcases
42,FURBO10004218,Bush Heritage Pine Collection 5-Shelf Bookcase/ Albany Pine Finish/ *Special Order,Furniture,Bookcases
43,FURBO10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,Furniture,Bookcases
44,FURBO10004360,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases
45,FURBO10004409,Safco Value Mate Series Steel Bookcases/ Baked Enamel Finish on Steel/ Gray,Furniture,Bookcases
46,FURBO10004467,Bestar Classic Bookcase,Furniture,Bookcases
47,FURBO10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,Furniture,Bookcases
48,FURBO10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases
49,FURBO10004709,Bush Westfield Collection Bookcases/ Medium Cherry Finish,Furniture,Bookcases
50,FURBO10004834,Riverside Palais Royal Lawyers Bookcase/ Royale Cherry Finish,Furniture,Bookcases
51,FURCH10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs
52,FURCH10000155,Global Comet Stacking Armless Chair,Furniture,Chairs
53,FURCH10000225,Global Geo Office Task Chair/ Gray,Furniture,Chairs
54,FURCH10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs
55,FURCH10000309,Global Comet Stacking Arm Chair,Furniture,Chairs
56,FURCH10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs
57,FURCH10000454,Hon Deluxe Fabric Upholstered Stacking Chairs/ Rounded Back,Furniture,Chairs
58,FURCH10000513,High-Back Leather Manager's Chair,Furniture,Chairs
59,FURCH10000553,Metal Folding Chairs/ Beige/ 4/Carton,Furniture,Chairs
60,FURCH10000595,Safco Contoured Stacking Chairs,Furniture,Chairs
61,FURCH10000665,Global Airflow Leather Mesh Back Chair/ Black,Furniture,Chairs
62,FURCH10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs
63,FURCH10000785,Global Ergonomic Managers Chair,Furniture,Chairs
64,FURCH10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs
65,FURCH10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs
66,FURCH10000988,Hon Olson Stacker Stools,Furniture,Chairs
67,FURCH10001146,Global Task Chair/ Black,Furniture,Chairs
69,FURCH10001190,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs
70,FURCH10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs
71,FURCH10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs
72,FURCH10001394,Global Leather Executive Chair,Furniture,Chairs
73,FURCH10001482,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs
74,FURCH10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs
75,FURCH10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs
76,FURCH10001714,Global Leather & Oak Executive Chair/ Burgundy,Furniture,Chairs
77,FURCH10001797,Safco Chair Connectors/ 6/Carton,Furniture,Chairs
78,FURCH10001802,Hon Every-Day Chair Series Swivel Task Chairs,Furniture,Chairs
79,FURCH10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs
80,FURCH10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs
81,FURCH10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs
82,FURCH10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Furniture,Chairs
83,FURCH10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs
84,FURCH10002044,Office Star - Contemporary Task Swivel chair with 2-way adjustable arms/ Plum,Furniture,Chairs
85,FURCH10002073,Hon Olson Stacker Chairs,Furniture,Chairs
86,FURCH10002084,Hon Mobius Operator's Chair,Furniture,Chairs
87,FURCH10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,Furniture,Chairs
88,FURCH10002304,Global Stack Chair without Arms/ Black,Furniture,Chairs
89,FURCH10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,Furniture,Chairs
90,FURCH10002320,Hon Pagoda Stacking Chairs,Furniture,Chairs
91,FURCH10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs
92,FURCH10002335,Hon GuestStacker Chair,Furniture,Chairs
93,FURCH10002372,Office Star - Ergonomically Designed Knee Chair,Furniture,Chairs
94,FURCH10002439,Iceberg Nesting Folding Chair/ 19w x 6d x 43h,Furniture,Chairs
95,FURCH10002602,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs
96,FURCH10002647,Situations Contoured Folding Chairs/ 4/Set,Furniture,Chairs
97,FURCH10002758,Hon Deluxe Fabric Upholstered Stacking Chairs/ Squared Back,Furniture,Chairs
98,FURCH10002774,Global Deluxe Stacking Chair/ Gray,Furniture,Chairs
99,FURCH10002780,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs
100,FURCH10002880,Global High-Back Leather Tilter/ Burgundy,Furniture,Chairs
101,FURCH10002961,Leather Task Chair/ Black,Furniture,Chairs
102,FURCH10002965,Global Leather Highback Executive Chair with Pneumatic Height Adjustment/ Black,Furniture,Chairs
103,FURCH10003061,Global Leather Task Chair/ Black,Furniture,Chairs
104,FURCH10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs
105,FURCH10003298,Office Star - Contemporary Task Swivel chair with Loop Arms/ Charcoal,Furniture,Chairs
106,FURCH10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs
107,FURCH10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs
108,FURCH10003396,Global Deluxe Steno Chair,Furniture,Chairs
109,FURCH10003535,Global Armless Task Chair/ Royal Blue,Furniture,Chairs
110,FURCH10003606,SAFCO Folding Chair Trolley,Furniture,Chairs
111,FURCH10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs
112,FURCH10003761,Global Italian Leather Office Chair,Furniture,Chairs
113,FURCH10003774,Global Wood Trimmed Manager's Task Chair/ Khaki,Furniture,Chairs
114,FURCH10003817,Global Value Steno Chair/ Gray,Furniture,Chairs
115,FURCH10003833,Novimex Fabric Task Chair,Furniture,Chairs
116,FURCH10003846,Hon Valutask Swivel Chairs,Furniture,Chairs
117,FURCH10003956,Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs
118,FURCH10003968,Novimex Turbo Task Chair,Furniture,Chairs
119,FURCH10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs
120,FURCH10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Furniture,Chairs
121,FURCH10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs
122,FURCH10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs
123,FURCH10004218,Global Fabric Manager's Chair/ Dark Gray,Furniture,Chairs
124,FURCH10004287,SAFCO Arco Folding Chair,Furniture,Chairs
125,FURCH10004289,Global Super Steno Chair,Furniture,Chairs
126,FURCH10004477,Global Push Button Manager's Chair/ Indigo,Furniture,Chairs
127,FURCH10004495,Global Leather and Oak Executive Chair/ Black,Furniture,Chairs
128,FURCH10004540,Global Chrome Stack Chair,Furniture,Chairs
129,FURCH10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs
130,FURCH10004675,Lifetime Advantage Folding Chairs/ 4/Carton,Furniture,Chairs
131,FURCH10004698,Padded Folding Chairs/ Black/ 4/Carton,Furniture,Chairs
132,FURCH10004754,Global Stack Chair with Arms/ Black,Furniture,Chairs
133,FURCH10004853,Global Manager's Adjustable Task Chair/ Storm,Furniture,Chairs
134,FURCH10004860,Global Low Back Tilter Chair,Furniture,Chairs
135,FURCH10004875,Harbour Creations 67200 Series Stacking Chairs,Furniture,Chairs
136,FURCH10004886,Bevis Steel Folding Chairs,Furniture,Chairs
137,FURCH10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs
138,FURCH10004997,Hon Every-Day Series Multi-Task Chairs,Furniture,Chairs
139,FURFU10000010,DAX Value U-Channel Document Frames/ Easel Back,Furniture,Furnishings
140,FURFU10000023,Eldon Wave Desk Accessories,Furniture,Furnishings
141,FURFU10000073,Deflect-O Glasstique Clear Desk Accessories,Furniture,Furnishings
142,FURFU10000076,24-Hour Round Wall Clock,Furniture,Furnishings
143,FURFU10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings
144,FURFU10000175,DAX Wood Document Frame.,Furniture,Furnishings
145,FURFU10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings
146,FURFU10000206,GE General Purpose/ Extra Long Life/ Showcase & Floodlight Incandescent Bulbs,Furniture,Furnishings
147,FURFU10000221,Master Caster Door Stop/ Brown,Furniture,Furnishings
148,FURFU10000222,"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings
149,FURFU10000246,Aluminum Document Frame,Furniture,Furnishings
150,FURFU10000260,"6"" Cubicle Wall Clock/ Black",Furniture,Furnishings
151,FURFU10000277,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings
152,FURFU10000293,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings
153,FURFU10000305,"Tenex V2T-RE Standard Weight Series Chair Mat/ 45"" x 53""/ Lip 25"" x 12""",Furniture,Furnishings
154,FURFU10000308,Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings
155,FURFU10000320,OIC Stacking Trays,Furniture,Furnishings
156,FURFU10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings
157,FURFU10000409,GE 4 Foot Flourescent Tube/ 40 Watt,Furniture,Furnishings
158,FURFU10000448,Tenex Chairmats For Use With Carpeted Floors,Furniture,Furnishings
159,FURFU10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings
160,FURFU10000550,Stacking Trays by OIC,Furniture,Furnishings
161,FURFU10000576,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings
162,FURFU10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings
163,FURFU10000672,"Executive Impressions 10"" Spectator Wall Clock",Furniture,Furnishings
164,FURFU10000719,DAX Cubicle Frames/ 8-1/2 x 11,Furniture,Furnishings
165,FURFU10000723,Deflect-o EconoMat Studded/ No Bevel Mat for Low Pile Carpeting,Furniture,Furnishings
166,FURFU10000732,Eldon 200 Class Desk Accessories,Furniture,Furnishings
167,FURFU10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings
168,FURFU10000755,Eldon Expressions Mahogany Wood Desk Collection,Furniture,Furnishings
169,FURFU10000758,DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings
170,FURFU10000771,Eldon 200 Class Desk Accessories/ Smoke,Furniture,Furnishings
171,FURFU10000794,Eldon Stackable Tray/ Side-Load/ Legal/ Smoke,Furniture,Furnishings
172,FURFU10000820,Tensor Brushed Steel Torchiere Floor Lamp,Furniture,Furnishings
173,FURFU10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings
174,FURFU10001025,Eldon Imàge Series Desk Accessories/ Clear,Furniture,Furnishings
175,FURFU10001037,DAX Charcoal/Nickel-Tone Document Frame/ 5 x 7,Furniture,Furnishings
176,FURFU10001057,Tensor Track Tree Floor Lamp,Furniture,Furnishings
177,FURFU10001085,3M Polarizing Light Filter Sleeves,Furniture,Furnishings
178,FURFU10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings
179,FURFU10001185,Advantus Employee of the Month Certificate Frame/ 11 x 13-1/2,Furniture,Furnishings
180,FURFU10001196,DAX Cubicle Frames - 8x10,Furniture,Furnishings
181,FURFU10001215,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Furniture,Furnishings
182,FURFU10001290,Executive Impressions Supervisor Wall Clock,Furniture,Furnishings
183,FURFU10001379,"Executive Impressions 16-1/2"" Circular Wall Clock",Furniture,Furnishings
184,FURFU10001424,Dax Clear Box Frame,Furniture,Furnishings
